Oberkategorie,Unterkategorie,CF,MF
Haushaltsgeräte,Eieruhr,"0,19","0,28"
Haushaltsgeräte,Einkochautomat,"12,13","57,15"
Haushaltsgeräte,Einweckkocher,"12,13","57,15"
Haushaltsgeräte,Eismaschine,"28,67","128,29"
Haushaltsgeräte,Elektrische Bürste,"1,47","9,5"
Haushaltsgeräte,Elektrischer Fliegenfänger,"2,2","14,24"
Haushaltsgeräte,Elektrischer Handbesen,"3,67","23,74"
Haushaltsgeräte,Elektromesser,"1,57","18,34"
Haushaltsgeräte,Entsafter,"18,8","125,43"
Haushaltsgeräte,Espressokocher,"2,35","15,68"
Haushaltsgeräte,Faltrollo,"1,9","2,76"
Haushaltsgeräte,Fensterreiniger,"14,16","68,44"
Haushaltsgeräte,Fernglas,"0,81","1,76"
Haushaltsgeräte,Feuerzeug,"0,1","0,14"
Haushaltsgeräte,Fleischwolf,"14,1","94,07"
Haushaltsgeräte,Folienschweißgerät,"6,18","34,78"
Haushaltsgeräte,Fotoapparat,"118,9","462,61"
Haushaltsgeräte,Fritteuse,"12,13","57,15"
Haushaltsgeräte,Frostwächter,"100,6","1914,88"
Haushaltsgeräte,Fusselfräse,"1,47","9,5"
Haushaltsgeräte,Futterautomat (elektronisch) Katze,"4,7","31,36"
Haushaltsgeräte,Fächer,"0,2","0,74"
Haushaltsgeräte,Föhn,"5,14","33,23"
Haushaltsgeräte,Garderobenständer,"15,74","183,43"
Haushaltsgeräte,Garten,,
Haushaltsgeräte,Gartenschere,"2,62","30,57"
Haushaltsgeräte,Gaskocher,"6,07","28,58"
Haushaltsgeräte,Geschirr,"2,07","14,86"
Haushaltsgeräte,Gewürzmühle,"0,57","0,83"
Haushaltsgeräte,Gießkanne,"0,95","1,38"
Haushaltsgeräte,Glaskugel elektrisch,"14,99","283,06"
Haushaltsgeräte,Greifzange,"2,62","30,57"
Haushaltsgeräte,Grill,"30,33","142,88"
Haushaltsgeräte,Gymnastikball,"0,95","1,38"
Haushaltsgeräte,Haarschneidemaschine,"1,47","9,5"
Haushaltsgeräte,Haartrockner,"5,14","33,23"
Haushaltsgeräte,Handbesen,"0,4","1,49"
Haushaltsgeräte,Handnähmaschine,"1,41","9,41"
Haushaltsgeräte,Handrührgerät,5,"16,8"
Haushaltsgeräte,Handstaubsauger,"10,62","51,33"
Haushaltsgeräte,Harke,"2,62","30,57"
Haushaltsgeräte,Haushaltsgerät,"14,1","94,07"
Haushaltsgeräte,Haushaltsschere,"1,05","12,23"
Haushaltsgeräte,Hebelschere,"15,74","183,43"
Haushaltsgeräte,Heißluftfritteuse,"12,13","57,15"
Haushaltsgeräte,Hemdenbügler,"22,03","142,43"
Haushaltsgeräte,Herdplatte,"6,07","28,58"
